Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
3,BDOW,3,2,1,2,0,59.3,0.018451429,0.066993088,70.5,0.064402008,70.15738823,29.15738823,,,,,
3,BDOW,3,2,1,2,0,59.4,0.018665086,0.068553557,70.7,0.065963662,70.36549528,29.36549528,,,,,
3,BDOW,3,3,1,2,0,59.4,0.018665086,0.068553557,70.7,0.065963662,70.36549528,29.36549528,,,,,
3,BDOW,1,3,1,2,0,60.4,0.020942571,0.070962678,71,0.067801994,70.60424941,29.60424941,,,,,
3,BDOW,1,1,1,2,0,59.5,0.018881218,0.071784387,71.1,0.069256753,70.7886426,29.7886426,,,,,
3,BDOW,3,3,0,2,0,59.3,0.018451429,0.07345646,71.3,0.07110131,71.01695214,30.01695214,,,,,
3,BDOW,1,1,1,2,0,59.2,0.018240217,0.07345646,71.3,0.071155787,71.02360459,30.02360459,,,,,
3,BDOW,1,2,1,2,0,60.8,0.021929564,0.078710015,71.9,0.07559339,71.54907658,30.54907658,,,,,
3,BDOW,1,3,1,2,0,60.5,0.021185075,0.078710015,71.9,0.075805403,71.57340326,30.57340326,,,,,
3,BDOW,1,1,1,2,0,60.8,0.021929564,0.079621434,72,0.07654193,71.65738821,30.65738821,,,,,
3,BDOW,3,1,1,2,0,60.2,0.02046586,0.078710015,71.9,0.07600273,71.59598398,30.59598398,,,,,
3,BDOW,3,2,1,2,0,60.2,0.02046586,0.078710015,71.9,0.07600273,71.59598398,30.59598398,,,,,
3,BDOW,3,1,0,2,0,59.2,0.018240217,0.078710015,71.9,0.076567362,71.66027379,30.66027379,,,,,
3,BDOW,3,3,0,2,0,59.8,0.019544744,0.080543407,72.1,0.078136057,71.83642991,30.83642991,,,,,
3,BDOW,3,3,1,2,0,60.2,0.02046586,0.081476056,72.2,0.078863783,71.91695221,30.91695221,,,,,
3,BDOW,1,2,1,2,0,60.4,0.020942571,0.083373877,72.4,0.080700756,72.1169522,31.1169522,,,,,
3,BDOW,3,1,1,2,0,59.8,0.019544744,0.082419504,72.3,0.080068581,72.0486427,31.0486427,,,,,
